state,x,y
Jammu And Kashmir,-90.0,201.0
Himachal Pradesh,-72.0,159.0
Panjab,-102.0,145.0
Uttarakhand,-42.0,129.0
Haryana,-95.0,113.0
Rajasthan,-133.0,76.0
Uttar Pradesh,-40.0,78.0
Madhya Pradesh,-86.0,11.0
Gujarat,-181.0,13.0
Maharashtra,-130.0,-59.0
Goa,-138.0,-121.0
Karnataka,-125.0,-141.0
Keral,-99.0,-211.0
Tamil Nadu,-80.0,-195.0
Orissa,37.0,-33.0
Andhra Pradesh,-61.0,-79.0
Telengana,-55.0,-125.0
Chhattishgara,-16.0,-24.0
West Bangal,83.0,10.0
Jharkhand,36.0,16.0
Bihar,48.0,50.0
Skkiam,93.0,86.0
Assam,146.0,65.0
Meghalaya,121.0,50.0
Nagaland,183.0,61.0
Arunachal Pradesh,174.0,100.0
Manipur,172.0,36.0
Mizzorim,160.0,17.0
Tripur,139.0,24.0
Delhi,-76.0,103.0
